H2S,CO2,N2,C1,C2,C3,C4,C5,C6,C7+,MW7+,T(F),MW5+,Vol,Int,MMP(psi)
0.001,0.18,0.05,39.58,2.37,1.3,1.3,1.2,1.2,52.8,224,170,218,39.63,5.151,3015
0.001,0.2,0.28,29.45,10.44,12.1,6.7,4.4,3.5,33,190,130,168,29.73,29.441,1723
0.001,0.245,0.338,4.07,3.11,4.9,5.7,5.5,5.5,70.7,228,160,208,4.408,13.956,2100
1.37,0.82,0.57,35.13,10.15,7,4.3,4,3.7,33.1,205,188,181,35.7,23.64,2147
0.001,0.55,0.54,15.94,7.48,5.8,3.2,1.2,6,59.4,240,106,223,16.48,17.031,1215
0.001,0.28,0.39,6.29,4.86,4.7,5.9,5.2,3.9,68.5,209,160,193,6.68,15.741,2300
0.001,0.001,0.1,24.15,11.46,8.62,3.77,3.05,3.81,45.04,221,104,202,24.25,23.852,1799
0.001,0.02,0.001,17.04,6.9,6.01,4.31,0.97,5.21,59.54,235,109,221,17.041,17.241,1300
5.73,0.91,1.12,33.34,9.85,6.66,5.2,3.45,3.42,30.32,192,245,171,34.46,28.35,3400
0.001,0.001,0.001,17.07,6.41,7.82,6.72,2.69,5.19,54.1,222,109,204,17.071,20.952,1500
0.001,0.32,0.83,28.65,11.29,12.39,7.82,4.49,4.06,30.15,197,130,171,29.48,31.821,1600
0.001,0.32,0.83,28.65,11.29,12.39,7.82,4.49,4.06,30.15,197,130,171,29.48,31.821,1800
0.001,0.6,3.34,74.16,7.9,4.15,2.15,1.19,0.81,5.7,151,155,132,77.5,14.801,2234
0.001,0.56,3.55,45.34,5.48,3.7,2.35,1.6,0.87,36.12,255,140,243,48.89,12.091,1978
0.001,1,0.4,45.4,4.2,0.89,1.08,0.94,1.01,45.08,250,196,243,45.8,7.171,2768
0.001,3.27,0.58,53.89,8.57,6.05,3.49,2.05,1.45,20.66,204,221,186,54.47,21.381,3629
0.001,2.49,0.12,76.43,7.46,3.12,1.8,1.09,0.79,6.7,174,265,153,76.55,14.871,3286
0.001,6.66,0.01,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,180,188,32.99,42.441,3190
0.001,6.66,0.01,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,240,188,32.99,42.441,3705
0.001,1.41,0.39,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,240,262,6.74,20.591,3675
0.3,0.58,0.96,4.49,2.99,4.75,2.73,3.46,14.5,65.24,239,138,205,5.45,11.35,1697
0.12,0.74,2.07,7.49,4.22,7.85,6.55,4.59,10.59,55.78,235,145,202,9.56,19.48,2060
0.16,0.32,0.82,18.59,8.97,8.2,7.13,5.65,7.47,42.69,240,153,202,19.41,24.78,2393
